PROVIDERID,DAYOFWEEK,SLOTSTARTTIME,SLOTENDTIME
375,2,10:00:00,10:20:00
375,2,10:20:00,10:40:00
375,2,10:40:00,11:00:00
375,2,11:00:00,11:20:00
375,2,11:20:00,11:40:00
375,2,11:40:00,12:00:00
375,2,12:00:00,12:20:00
375,2,12:20:00,12:40:00
375,2,12:40:00,13:00:00
375,2,13:00:00,13:20:00
375,2,13:20:00,13:40:00
375,2,13:40:00,14:00:00
375,2,14:00:00,14:20:00
375,2,14:20:00,14:40:00
375,2,14:40:00,15:00:00
375,3,08:00:00,08:20:00
375,3,08:20:00,08:40:00
375,3,08:40:00,09:00:00
375,3,09:00:00,09:20:00
375,3,09:20:00,09:40:00
375,3,09:40:00,10:00:00
375,3,10:00:00,10:20:00
375,3,10:20:00,10:40:00
375,3,10:40:00,11:00:00
375,3,11:00:00,11:20:00
375,3,11:20:00,11:40:00
375,3,11:40:00,12:00:00
375,3,12:00:00,12:20:00
375,3,12:20:00,12:40:00
375,3,12:40:00,13:00:00
375,3,13:00:00,13:20:00
375,3,13:20:00,13:40:00
375,3,13:40:00,14:00:00
375,3,14:00:00,14:20:00
375,3,14:20:00,14:40:00
375,3,14:40:00,15:00:00
375,4,08:00:00,08:20:00
375,4,08:20:00,08:40:00
375,4,08:40:00,09:00:00
375,4,09:00:00,09:20:00
375,4,09:20:00,09:40:00
375,4,09:40:00,10:00:00
375,4,10:00:00,10:20:00
375,4,10:20:00,10:40:00
375,4,10:40:00,11:00:00
375,4,11:00:00,11:20:00
375,4,11:20:00,11:40:00
375,4,11:40:00,12:00:00
375,4,12:00:00,12:20:00
375,4,12:20:00,12:40:00
375,4,12:40:00,13:00:00
375,4,13:00:00,13:20:00
375,4,13:20:00,13:40:00
375,4,13:40:00,14:00:00
375,4,14:00:00,14:20:00
375,4,14:20:00,14:40:00
375,4,14:40:00,15:00:00
375,5,08:00:00,08:20:00
375,5,08:20:00,08:40:00
375,5,08:40:00,09:00:00
375,5,09:00:00,09:20:00
375,5,09:20:00,09:40:00
375,5,09:40:00,10:00:00
375,5,10:00:00,10:20:00
375,5,10:20:00,10:40:00
375,5,10:40:00,11:00:00
375,5,11:00:00,11:20:00
375,5,11:20:00,11:40:00
375,5,11:40:00,12:00:00
375,5,12:00:00,12:20:00
375,5,12:20:00,12:40:00
375,5,12:40:00,13:00:00
375,5,13:00:00,13:20:00
375,5,13:20:00,13:40:00
375,5,13:40:00,14:00:00
375,5,14:00:00,14:20:00
375,5,14:20:00,14:40:00
375,5,14:40:00,15:00:00
375,6,08:00:00,08:20:00
375,6,08:20:00,08:40:00
375,6,08:40:00,09:00:00
375,6,09:00:00,09:20:00
375,6,09:20:00,09:40:00
375,6,09:40:00,10:00:00
375,6,10:00:00,10:20:00
375,6,10:20:00,10:40:00
375,6,10:40:00,11:00:00
375,6,11:00:00,11:20:00
375,6,11:20:00,11:40:00
375,6,11:40:00,12:00:00
375,6,12:00:00,12:20:00
375,6,12:20:00,12:40:00
375,6,12:40:00,13:00:00
375,6,13:00:00,13:20:00
375,6,13:20:00,13:40:00
375,6,13:40:00,14:00:00
375,6,14:00:00,14:20:00
375,6,14:20:00,14:40:00
375,6,14:40:00,15:00:00
374,2,08:00:00,08:15:00
374,2,08:15:00,08:30:00
374,2,08:30:00,08:45:00
374,2,08:45:00,09:00:00
374,2,09:00:00,09:15:00
374,2,09:15:00,09:30:00
374,2,09:30:00,09:45:00
374,2,09:45:00,10:00:00
374,2,10:00:00,10:15:00
374,2,10:15:00,10:30:00
374,2,10:30:00,10:45:00
374,2,10:45:00,11:00:00
374,2,11:00:00,11:15:00
374,2,11:15:00,11:30:00
374,2,11:30:00,11:45:00
374,2,11:45:00,12:00:00
374,2,12:00:00,12:15:00
374,2,12:15:00,12:30:00
374,2,12:30:00,12:45:00
374,2,12:45:00,13:00:00
374,2,13:00:00,13:15:00
374,2,13:15:00,13:30:00
374,2,13:30:00,13:45:00
374,2,13:45:00,14:00:00
374,2,14:00:00,14:15:00
374,2,14:15:00,14:30:00
374,2,14:30:00,14:45:00
374,2,14:45:00,15:00:00
374,2,15:00:00,15:15:00
374,2,15:15:00,15:30:00
374,2,15:30:00,15:45:00
374,2,15:45:00,16:00:00
374,3,08:00:00,08:15:00
374,3,08:15:00,08:30:00
374,3,08:30:00,08:45:00
374,3,08:45:00,09:00:00
374,3,09:00:00,09:15:00
374,3,09:15:00,09:30:00
374,3,09:30:00,09:45:00
374,3,09:45:00,10:00:00
374,3,10:00:00,10:15:00
374,3,10:15:00,10:30:00
374,3,10:30:00,10:45:00
374,3,10:45:00,11:00:00
374,3,11:00:00,11:15:00
374,3,11:15:00,11:30:00
374,3,11:30:00,11:45:00
374,3,11:45:00,12:00:00
374,3,12:00:00,12:15:00
374,3,12:15:00,12:30:00
374,3,12:30:00,12:45:00
374,3,12:45:00,13:00:00
374,3,13:00:00,13:15:00
374,3,13:15:00,13:30:00
374,3,13:30:00,13:45:00
374,3,13:45:00,14:00:00
374,3,14:00:00,14:15:00
374,3,14:15:00,14:30:00
374,3,14:30:00,14:45:00
374,3,14:45:00,15:00:00
374,3,15:00:00,15:15:00
374,3,15:15:00,15:30:00
374,3,15:30:00,15:45:00
374,3,15:45:00,16:00:00
374,5,08:00:00,08:15:00
374,5,08:15:00,08:30:00
374,5,08:30:00,08:45:00
374,5,08:45:00,09:00:00
374,5,09:00:00,09:15:00
374,5,09:15:00,09:30:00
374,5,09:30:00,09:45:00
374,5,09:45:00,10:00:00
374,5,10:00:00,10:15:00
374,5,10:15:00,10:30:00
374,5,10:30:00,10:45:00
374,5,10:45:00,11:00:00
374,5,11:00:00,11:15:00
374,5,11:15:00,11:30:00
374,5,11:30:00,11:45:00
374,5,11:45:00,12:00:00
374,5,12:00:00,12:15:00
374,5,12:15:00,12:30:00
374,5,12:30:00,12:45:00
374,5,12:45:00,13:00:00
374,5,13:00:00,13:15:00
374,5,13:15:00,13:30:00
374,5,13:30:00,13:45:00
374,5,13:45:00,14:00:00
374,5,14:00:00,14:15:00
374,5,14:15:00,14:30:00
374,5,14:30:00,14:45:00
374,5,14:45:00,15:00:00
374,5,15:00:00,15:15:00
374,5,15:15:00,15:30:00
374,5,15:30:00,15:45:00
374,5,15:45:00,16:00:00
373,2,08:00:00,08:15:00
373,2,08:15:00,08:30:00
373,2,08:30:00,08:45:00
373,2,08:45:00,09:00:00
373,2,09:00:00,09:15:00
373,2,09:15:00,09:30:00
373,2,09:30:00,09:45:00
373,2,09:45:00,10:00:00
373,2,10:00:00,10:15:00
373,2,10:15:00,10:30:00
373,2,10:30:00,10:45:00
373,2,10:45:00,11:00:00
373,2,11:00:00,11:15:00
373,2,11:15:00,11:30:00
373,2,11:30:00,11:45:00
373,2,11:45:00,12:00:00
373,2,12:00:00,12:15:00
373,2,12:15:00,12:30:00
373,2,12:30:00,12:45:00
373,2,12:45:00,13:00:00
373,2,13:00:00,13:15:00
373,2,13:15:00,13:30:00
373,2,13:30:00,13:45:00
373,2,13:45:00,14:00:00
373,2,14:00:00,14:15:00
373,2,14:15:00,14:30:00
373,2,14:30:00,14:45:00
373,2,14:45:00,15:00:00
373,2,15:00:00,15:15:00
373,2,15:15:00,15:30:00
373,2,15:30:00,15:45:00
373,2,15:45:00,16:00:00
373,3,08:00:00,08:15:00
373,3,08:15:00,08:30:00
373,3,08:30:00,08:45:00
373,3,08:45:00,09:00:00
373,3,09:00:00,09:15:00
373,3,09:15:00,09:30:00
373,3,09:30:00,09:45:00
373,3,09:45:00,10:00:00
373,3,10:00:00,10:15:00
373,3,10:15:00,10:30:00
373,3,10:30:00,10:45:00
373,3,10:45:00,11:00:00
373,3,11:00:00,11:15:00
373,3,11:15:00,11:30:00
373,3,11:30:00,11:45:00
373,3,11:45:00,12:00:00
373,3,12:00:00,12:15:00
373,3,12:15:00,12:30:00
373,3,12:30:00,12:45:00
373,3,12:45:00,13:00:00
373,3,13:00:00,13:15:00
373,3,13:15:00,13:30:00
373,3,13:30:00,13:45:00
373,3,13:45:00,14:00:00
373,3,14:00:00,14:15:00
373,3,14:15:00,14:30:00
373,3,14:30:00,14:45:00
373,3,14:45:00,15:00:00
373,3,15:00:00,15:15:00
373,3,15:15:00,15:30:00
373,3,15:30:00,15:45:00
373,3,15:45:00,16:00:00
373,5,08:00:00,08:15:00
373,5,08:15:00,08:30:00
373,5,08:30:00,08:45:00
373,5,08:45:00,09:00:00
373,5,09:00:00,09:15:00
373,5,09:15:00,09:30:00
373,5,09:30:00,09:45:00
373,5,09:45:00,10:00:00
373,5,10:00:00,10:15:00
373,5,10:15:00,10:30:00
373,5,10:30:00,10:45:00
373,5,10:45:00,11:00:00
373,5,11:00:00,11:15:00
373,5,11:15:00,11:30:00
373,5,11:30:00,11:45:00
373,5,11:45:00,12:00:00
373,5,12:00:00,12:15:00
373,5,12:15:00,12:30:00
373,5,12:30:00,12:45:00
373,5,12:45:00,13:00:00
373,5,13:00:00,13:15:00
373,5,13:15:00,13:30:00
373,5,13:30:00,13:45:00
373,5,13:45:00,14:00:00
373,5,14:00:00,14:15:00
373,5,14:15:00,14:30:00
373,5,14:30:00,14:45:00
373,5,14:45:00,15:00:00
373,5,15:00:00,15:15:00
373,5,15:15:00,15:30:00
373,5,15:30:00,15:45:00
373,5,15:45:00,16:00:00
365,2,08:00:00,08:15:00
365,2,08:15:00,08:30:00
365,2,08:30:00,08:45:00
365,2,08:45:00,09:00:00
365,2,09:00:00,09:15:00
365,2,09:15:00,09:30:00
365,2,09:30:00,09:45:00
365,2,09:45:00,10:00:00
365,2,10:00:00,10:15:00
365,2,10:15:00,10:30:00
365,2,10:30:00,10:45:00
365,2,10:45:00,11:00:00
365,2,11:00:00,11:15:00
365,2,11:15:00,11:30:00
365,2,11:30:00,11:45:00
365,2,11:45:00,12:00:00
365,2,12:00:00,12:15:00
365,2,12:15:00,12:30:00
365,2,12:30:00,12:45:00
365,2,12:45:00,13:00:00
365,2,13:00:00,13:15:00
365,2,13:15:00,13:30:00
365,2,13:30:00,13:45:00
365,2,13:45:00,14:00:00
365,2,14:00:00,14:15:00
365,2,14:15:00,14:30:00
365,2,14:30:00,14:45:00
365,2,14:45:00,15:00:00
365,2,15:00:00,15:15:00
365,2,15:15:00,15:30:00
365,2,15:30:00,15:45:00
365,2,15:45:00,16:00:00
365,2,16:00:00,16:15:00
365,2,16:15:00,16:30:00
365,2,16:30:00,16:45:00
365,2,16:45:00,17:00:00
365,2,17:00:00,17:15:00
365,2,17:15:00,17:30:00
365,2,17:30:00,17:45:00
365,2,17:45:00,18:00:00
365,2,18:00:00,18:15:00
365,2,18:15:00,18:30:00
365,2,18:30:00,18:45:00
365,2,18:45:00,19:00:00
365,2,19:00:00,19:15:00
365,2,19:15:00,19:30:00
365,2,19:30:00,19:45:00
365,2,19:45:00,20:00:00
365,2,20:00:00,20:15:00
365,2,20:15:00,20:30:00
365,2,20:30:00,20:45:00
365,2,20:45:00,21:00:00
365,2,21:00:00,21:15:00
365,2,21:15:00,21:30:00
365,3,08:00:00,08:15:00
365,3,08:15:00,08:30:00
365,3,08:30:00,08:45:00
365,3,08:45:00,09:00:00
365,3,09:00:00,09:15:00
365,3,09:15:00,09:30:00
365,3,09:30:00,09:45:00
365,3,09:45:00,10:00:00
365,3,10:00:00,10:15:00
365,3,10:15:00,10:30:00
365,3,10:30:00,10:45:00
365,3,10:45:00,11:00:00
365,3,11:00:00,11:15:00
365,3,11:15:00,11:30:00
365,3,11:30:00,11:45:00
365,3,11:45:00,12:00:00
365,3,12:00:00,12:15:00
365,3,12:15:00,12:30:00
365,3,12:30:00,12:45:00
365,3,12:45:00,13:00:00
365,3,13:00:00,13:15:00
365,3,13:15:00,13:30:00
365,3,13:30:00,13:45:00
365,3,13:45:00,14:00:00
365,4,08:00:00,08:15:00
365,4,08:15:00,08:30:00
365,4,08:30:00,08:45:00
365,4,08:45:00,09:00:00
365,4,09:00:00,09:15:00
365,4,09:15:00,09:30:00
365,4,09:30:00,09:45:00
365,4,09:45:00,10:00:00
365,4,10:00:00,10:15:00
365,4,10:15:00,10:30:00
365,4,10:30:00,10:45:00
365,4,10:45:00,11:00:00
365,5,08:00:00,08:15:00
365,5,08:15:00,08:30:00
365,5,08:30:00,08:45:00
365,5,08:45:00,09:00:00
365,5,09:00:00,09:15:00
365,5,09:15:00,09:30:00
365,5,09:30:00,09:45:00
365,5,09:45:00,10:00:00
365,5,10:00:00,10:15:00
365,5,10:15:00,10:30:00
365,5,10:30:00,10:45:00
365,5,10:45:00,11:00:00
365,5,11:00:00,11:15:00
365,5,11:15:00,11:30:00
365,5,11:30:00,11:45:00
365,5,11:45:00,12:00:00
365,5,12:00:00,12:15:00
365,5,12:15:00,12:30:00
365,5,12:30:00,12:45:00
365,5,12:45:00,13:00:00
363,2,18:00:00,18:15:00
363,2,18:15:00,18:30:00
363,2,18:30:00,18:45:00
363,2,18:45:00,19:00:00
363,2,19:00:00,19:15:00
363,2,19:15:00,19:30:00
363,2,19:30:00,19:45:00
363,2,19:45:00,20:00:00
363,2,20:00:00,20:15:00
363,2,20:15:00,20:30:00
363,2,20:30:00,20:45:00
363,3,18:00:00,18:15:00
363,3,18:15:00,18:30:00
363,3,18:30:00,18:45:00
363,3,18:45:00,19:00:00
363,3,19:00:00,19:15:00
363,3,19:15:00,19:30:00
363,3,19:30:00,19:45:00
363,3,19:45:00,20:00:00
363,3,20:00:00,20:15:00
363,4,08:30:00,08:45:00
363,4,08:45:00,09:00:00
363,4,09:00:00,09:15:00
363,4,09:15:00,09:30:00
363,4,16:00:00,16:15:00
363,4,16:15:00,16:30:00
363,4,16:30:00,16:45:00
363,4,16:45:00,17:00:00
363,4,17:00:00,17:15:00
363,4,17:15:00,17:30:00
363,4,17:30:00,17:45:00
363,4,18:00:00,18:15:00
363,4,18:15:00,18:30:00
363,4,18:30:00,18:45:00
363,4,18:45:00,19:00:00
363,4,19:00:00,19:15:00
363,4,19:15:00,19:30:00
363,4,19:30:00,19:45:00
363,4,20:00:00,20:15:00
363,5,16:00:00,16:15:00
363,5,16:15:00,16:30:00
363,5,16:30:00,16:45:00
363,5,16:45:00,17:00:00
363,5,17:00:00,17:15:00
363,5,17:15:00,17:30:00
363,5,17:30:00,17:45:00
363,5,17:45:00,18:00:00
363,5,18:00:00,18:15:00
363,5,18:15:00,18:30:00
363,5,18:30:00,18:45:00
363,5,18:45:00,19:00:00
363,5,19:00:00,19:15:00
363,5,19:15:00,19:30:00
363,5,19:30:00,19:45:00
363,5,19:45:00,20:00:00
363,5,20:00:00,20:15:00
363,6,11:00:00,11:15:00
363,6,11:15:00,11:30:00
363,6,11:30:00,11:45:00
363,6,11:45:00,12:00:00
363,6,12:00:00,12:15:00
363,6,12:15:00,12:30:00
363,6,12:30:00,12:45:00
363,6,12:45:00,13:00:00
363,6,13:00:00,13:15:00
363,6,13:15:00,13:30:00
363,6,13:30:00,13:45:00
363,6,13:45:00,14:00:00
363,6,14:00:00,14:15:00
363,6,14:15:00,14:30:00
363,6,14:30:00,14:45:00
363,6,14:45:00,15:00:00
363,6,15:00:00,15:15:00
363,6,15:15:00,15:30:00
363,6,15:30:00,15:45:00
363,6,15:45:00,16:00:00
363,6,16:00:00,16:15:00
363,6,16:15:00,16:30:00
363,6,16:30:00,16:45:00
363,6,16:45:00,17:00:00
357,3,19:00:00,19:15:00
357,3,19:15:00,19:30:00
357,3,19:30:00,19:45:00
357,3,19:45:00,08:00:00
357,3,12:00:00,12:15:00
357,3,12:15:00,12:30:00
357,3,12:30:00,12:45:00
357,3,12:45:00,13:00:00
357,3,13:00:00,13:15:00
357,3,13:15:00,13:30:00
357,3,13:30:00,13:45:00
357,3,13:45:00,14:00:00
357,3,14:00:00,14:15:00
357,3,14:15:00,14:30:00
357,4,19:00:00,19:15:00
357,4,19:15:00,19:30:00
357,4,19:30:00,19:45:00
357,4,19:45:00,08:00:00
357,4,08:00:00,08:15:00
357,4,08:15:00,08:30:00
357,4,08:30:00,08:45:00
357,4,08:45:00,09:00:00
357,4,09:00:00,09:15:00
357,4,09:15:00,09:30:00
357,4,09:30:00,09:45:00
357,4,09:45:00,10:00:00
357,4,10:00:00,10:15:00
357,4,10:15:00,10:30:00
357,4,10:30:00,10:45:00
357,4,10:45:00,11:00:00
357,4,11:00:00,11:15:00
357,4,11:15:00,11:30:00
357,4,11:30:00,11:45:00
357,4,11:45:00,12:00:00
357,4,12:00:00,12:15:00
357,4,12:15:00,12:30:00
357,4,12:30:00,12:45:00
357,4,12:45:00,13:00:00
357,4,13:00:00,13:15:00
357,4,13:15:00,13:30:00
357,4,13:30:00,13:45:00
357,4,13:45:00,14:00:00
357,4,14:00:00,14:15:00
357,4,14:15:00,14:30:00
357,4,14:30:00,14:45:00
357,4,14:45:00,15:00:00
357,4,15:00:00,15:15:00
357,4,15:15:00,15:30:00
357,4,15:30:00,15:45:00
357,4,15:45:00,16:00:00
357,4,16:00:00,16:15:00
357,5,19:00:00,19:15:00
357,5,19:15:00,19:30:00
357,5,19:30:00,19:45:00
357,5,19:45:00,08:00:00
357,5,12:00:00,12:15:00
357,5,12:15:00,12:30:00
357,5,12:30:00,12:45:00
357,5,12:45:00,13:00:00
357,5,13:00:00,13:15:00
355,2,08:00:00,08:20:00
355,2,08:20:00,08:40:00
355,2,08:40:00,09:00:00
355,2,09:00:00,09:20:00
355,2,09:20:00,09:40:00
355,2,09:40:00,10:00:00
355,2,10:00:00,10:20:00
355,2,10:20:00,10:40:00
355,2,10:40:00,11:00:00
355,2,11:00:00,11:20:00
355,2,11:20:00,11:40:00
355,2,11:40:00,12:00:00
355,2,12:00:00,12:20:00
355,2,12:20:00,12:40:00
355,2,12:40:00,13:00:00
355,2,13:00:00,13:20:00
355,2,13:20:00,13:40:00
355,2,13:40:00,14:00:00
355,3,08:00:00,08:20:00
355,3,08:20:00,08:40:00
355,3,08:40:00,09:00:00
355,3,09:00:00,09:20:00
355,3,09:20:00,09:40:00
355,3,09:40:00,10:00:00
355,3,10:00:00,10:20:00
355,3,10:20:00,10:40:00
355,3,10:40:00,11:00:00
355,3,11:00:00,11:20:00
355,3,11:20:00,11:40:00
355,3,11:40:00,12:00:00
355,3,12:00:00,12:20:00
355,3,12:20:00,12:40:00
355,3,12:40:00,13:00:00
355,3,13:00:00,13:20:00
355,3,13:20:00,13:40:00
355,3,13:40:00,14:00:00
354,2,08:00:00,08:20:00
354,2,08:20:00,08:40:00
354,2,08:40:00,09:00:00
354,2,09:00:00,09:20:00
354,2,09:20:00,09:40:00
354,2,09:40:00,10:00:00
354,2,10:00:00,10:20:00
354,2,10:20:00,10:40:00
354,2,10:40:00,11:00:00
354,2,11:00:00,11:20:00
354,2,11:20:00,11:40:00
354,2,11:40:00,12:00:00
354,2,12:00:00,12:20:00
354,2,12:20:00,12:40:00
354,2,12:40:00,13:00:00
354,2,13:00:00,13:20:00
354,2,13:20:00,13:40:00
354,2,13:40:00,14:00:00
354,3,08:00:00,08:20:00
354,3,08:20:00,08:40:00
354,3,08:40:00,09:00:00
354,3,09:00:00,09:20:00
354,3,09:20:00,09:40:00
354,3,09:40:00,10:00:00
354,3,10:00:00,10:20:00
354,3,10:20:00,10:40:00
354,3,10:40:00,11:00:00
354,3,11:00:00,11:20:00
354,3,11:20:00,11:40:00
354,3,11:40:00,12:00:00
354,3,12:00:00,12:20:00
354,3,12:20:00,12:40:00
354,3,12:40:00,13:00:00
354,3,13:00:00,13:20:00
354,3,13:20:00,13:40:00
354,3,13:40:00,14:00:00
344,6,13:00:00,13:15:00
344,6,13:15:00,13:30:00
344,6,13:30:00,13:45:00
344,6,13:45:00,14:00:00
344,6,14:00:00,14:15:00
344,6,14:15:00,14:30:00
344,6,14:30:00,14:45:00
344,6,14:45:00,15:00:00
342,6,13:00:00,13:15:00
342,6,13:15:00,13:30:00
342,6,13:30:00,13:45:00
342,6,13:45:00,14:00:00
342,6,14:00:00,14:15:00
342,6,14:15:00,14:30:00
342,6,14:30:00,14:45:00
342,6,14:45:00,15:00:00
341,2,08:00:00,08:20:00
341,2,08:20:00,08:40:00
341,2,08:40:00,09:00:00
341,2,09:00:00,09:20:00
341,2,09:20:00,09:40:00
341,2,09:40:00,10:00:00
341,2,10:00:00,10:20:00
341,2,10:20:00,10:40:00
341,2,10:40:00,11:00:00
341,2,11:00:00,11:20:00
341,2,11:20:00,11:40:00
341,2,11:40:00,12:00:00
341,2,12:00:00,12:20:00
341,2,12:20:00,12:40:00
341,2,12:40:00,13:00:00
341,2,13:00:00,13:20:00
341,2,13:20:00,13:40:00
341,2,13:40:00,14:00:00
341,2,14:00:00,14:20:00
341,2,14:20:00,14:40:00
341,2,14:40:00,15:00:00
341,2,15:00:00,15:20:00
341,2,15:20:00,15:40:00
341,2,15:40:00,16:00:00
341,2,16:00:00,16:20:00
341,2,16:20:00,16:40:00
341,2,16:40:00,17:00:00
341,2,17:00:00,17:20:00
341,2,17:20:00,17:40:00
341,2,17:40:00,18:00:00
341,3,12:00:00,12:20:00
341,3,12:20:00,12:40:00
341,3,12:40:00,13:00:00
341,3,13:00:00,13:20:00
341,3,13:20:00,13:40:00
341,3,13:40:00,14:00:00
341,3,14:00:00,14:20:00
341,3,14:20:00,14:40:00
341,3,14:40:00,15:00:00
341,3,15:00:00,15:20:00
341,3,15:20:00,15:40:00
341,3,15:40:00,16:00:00
341,3,16:00:00,16:20:00
341,3,16:20:00,16:40:00
341,3,16:40:00,17:00:00
341,3,17:00:00,17:20:00
341,3,17:20:00,17:40:00
341,3,17:40:00,18:00:00
341,3,18:00:00,18:20:00
341,3,18:20:00,18:40:00
341,3,18:40:00,19:00:00
341,3,19:00:00,19:20:00
341,3,19:20:00,19:40:00
341,3,19:40:00,20:00:00
341,3,20:00:00,20:20:00
341,3,20:20:00,20:40:00
341,3,20:40:00,21:00:00
341,3,21:00:00,21:20:00
341,3,21:20:00,21:40:00
341,3,21:40:00,22:00:00
341,4,08:00:00,08:20:00
341,4,08:20:00,08:40:00
341,4,08:40:00,09:00:00
341,4,09:00:00,09:20:00
341,4,09:20:00,09:40:00
341,4,09:40:00,10:00:00
341,4,10:00:00,10:20:00
341,4,10:20:00,10:40:00
341,4,10:40:00,11:00:00
341,4,11:00:00,11:20:00
341,4,11:20:00,11:40:00
341,4,11:40:00,12:00:00
341,4,12:00:00,12:20:00
341,4,12:20:00,12:40:00
341,4,12:40:00,13:00:00
341,4,13:00:00,13:20:00
341,4,13:20:00,13:40:00
341,4,13:40:00,14:00:00
341,4,14:00:00,14:20:00
341,4,14:20:00,14:40:00
341,4,14:40:00,15:00:00
341,4,15:00:00,15:20:00
341,4,15:20:00,15:40:00
341,4,15:40:00,16:00:00
341,4,16:00:00,16:20:00
341,4,16:20:00,16:40:00
341,4,16:40:00,17:00:00
341,4,17:00:00,17:20:00
341,4,17:20:00,17:40:00
341,4,17:40:00,18:00:00
